number,name,address,bike_stands,available_bike_stands,available_bikes,lat,lon,temperature,relative_humidity,apparent_temperature,precipitation,rain,surface_pressure
13,PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,Partizanska cesta 46-48,20,18,2,46.561555,15.65692,12.6,81,10.3,0.0,0.0,960.0
20,EUROPARK - POBREŠKA C.,Pobreška cesta 18,21,18,3,46.554703,15.652826,12.7,81,10.4,0.0,0.0,961.3
4,STROSSMAYERJEVA UL. - TRŽNICA,Strossmayerjeva ulica 3,20,8,12,46.558498,15.64146,12.9,76,11.0,0.0,0.0,959.6
1,GOSPOSVETSKA C. - TURNERJEVA UL.,Gosposvetska cesta 69,22,8,14,46.562695,15.62935,12.9,74,11.4,0.0,0.0,958.7
16,KOROŠKA C. - KOROŠKI VETER,Koroška cesta 74,20,0,20,46.559319,15.63498,12.9,76,11.0,0.0,0.0,959.6
3,GOSPOSVETSKA C. - III. GIMNAZIJA,Gosposvetska cesta 4,20,14,6,46.560761,15.64053,12.8,76,10.9,0.0,0.0,958.9
21,GORKEGA UL. - OŠ FRANCETA PREŠERNA,Gorkega ulica 32,20,4,16,46.550683,15.639333,12.8,76,10.9,0.0,0.0,958.8
6,POŠTA - SLOMŠKOV TRG,Slomškov trg 10,20,11,9,46.558924,15.644443,12.9,76,11.0,0.0,0.0,959.6
22,DVORANA TABOR,Gorkega ulica 48,20,10,10,46.549005,15.635014,12.4,78,10.2,0.0,0.0,958.8
14,ULICA MOŠE PIJADA - UKC,Ulica Moše Pijada 6,20,13,7,46.552652,15.646023,12.8,76,10.9,0.0,0.0,958.8
19,LIDL - TITOVA C.,Titova cesta 15,20,8,12,46.551963,15.651564,12.6,81,10.2,0.0,0.0,959.2
25,SPAR - TRŽNICA TABOR,Kardeljeva c. 55,20,10,10,46.542655,15.634329,12.4,78,10.2,0.0,0.0,959.0
17,NA POLJANAH - HEROJA ŠERCERJA,NA POLJANAH 53,20,6,14,46.553109,15.624098,12.9,74,11.4,0.0,0.0,958.4
28,UM FGPA - LENT - SODNI STOLP,Pristan 6,20,5,15,46.556731,15.64212,12.9,76,11.0,0.0,0.0,960.8
8,RAZLAGOVA UL. - OBČINA,Razlagova ulica 1,20,18,2,46.56196,15.650235,12.6,81,10.2,0.0,0.0,958.9
7,PARTIZANSKA C. - TIC,Partizanska cesta 6a,20,9,11,46.560227,15.650781,12.6,81,10.2,0.0,0.0,959.3
2,GOSPOSVETSKA C. - VRBANSKA C.,Gosposvetska cesta 20,22,10,12,46.561422,15.637118,12.8,76,10.9,0.0,0.0,959.0
5,MLADINSKA UL. - TRUBARJEVA UL.,Mladinska ulica 15,16,6,10,46.56294,15.644185,12.8,76,10.9,0.0,0.0,958.7
12,MLINSKA UL . - AVTOBUSNA POSTAJA,Mlinska ulica 24,20,9,11,46.558534,15.654739,12.6,81,10.3,0.0,0.0,959.9
29,PETROL – LENT – VODNI STOLP,Usnjarska ulica 5,20,18,2,46.556534,15.647629,12.9,76,11.1,0.0,0.0,961.0
15,LJUBLJANSKA UL. - II. GIMNAZIJA,Ljubljanska ul. 30-25,20,15,5,46.548853,15.645591,12.4,78,10.2,0.0,0.0,959.0
26,NICEHASH - C. PROLETARSKIH BRIGAD,C. PROLETARSKIH BRIGAD 71,20,9,11,46.543986,15.629317,12.6,72,10.9,0.0,0.0,958.4
23,LJUBLJANSKA UL. - FOCHEVA,LJUBLJANSKA 41,20,8,12,46.545947,15.644015,12.4,78,10.2,0.0,0.0,959.2
27,JHMB – DVOETAŽNI MOST,Cesta XIV. divizije,20,14,6,46.554741,15.659814,12.8,81,10.4,0.0,0.0,962.2
18,LIDL - KOROŠKA C.,Koroška cesta 173,20,9,11,46.565603,15.623133,12.9,74,11.4,0.0,0.0,958.8
